ID	lon	lat	region(manual)	region.original.	solar1	solar2	solar3	srad01	srad02	srad03	srad04	srad05	srad06	srad07	srad08	srad09	srad10	srad11	srad12	temp01	temp02	temp03	temp04	temp05	temp06	temp07	temp08	temp09	temp10	temp11	temp12	prec01	prec02	prec03	prec04	prec05	prec06	prec07	prec08	prec09	prec10	prec11	prec12	vapr01	vapr02	vapr03	vapr04	vapr05	vapr06	vapr07	vapr08	vapr09	vapr10	vapr11	vapr12	bio01	bio02	bio03	bio04	bio05	bio06	bio07	bio08	bio09	bio10	bio11	bio12	bio13	bio14	bio15	bio16	bio17	bio18	bio19	soil01	soil02	soil03	soil04	soil05	soil06	soil07	soil08	soil09	soil10	soil11	soil12	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
ABD_0001	75.53	35.32	6	SA	3.280999899	2.010999918	4.169000149	7020	9576	13946	18370	21625	24128	21363	20015	17709	14548	10888	7306	-3.5	-1.700000048	4.699999809	11.10000038	15.69999981	20	23.39999962	21.5	18.5	12.19999981	5.5	-0.100000001	38	36	60	39	40	14	15	18	13	13	10	21	0.310000002	0.349999994	0.49000001	0.629999995	0.790000021	0.949999988	1.179999948	1.25	0.930000007	0.610000014	0.430000007	0.370000005	10.60833359	13.4333334	33.75209427	947.7289429	30.70000076	-9.100000381	39.80000305	10.5	12.0666666	21.63333321	-1.76666677	317	60	10	57.25943756	139	36	47	95	215	0	5.40000008	8.679999806	1.529999966	0.119999997	0.319999993	0.01	130	65	12	36	1.465578036	1.550641102	2.043480066	1.275216548	0.596738746	-0.049364811	-1.445755634	-0.678261493	-0.622688822	-0.460193668
ABD_0003	32.83	39.92	2	WA	4.789999962	1.669999957	4.539000034	6840	9442	13510	18308	22258	25530	27779	25530	19815	13784	8850	6074	-0.600000024	1.200000048	5.199999809	10.60000038	15.10000038	19.10000038	22.5	22	17.79999924	12.19999981	5.699999809	1.399999976	43	34	36	44	51	33	14	10	14	30	33	44	0.469999999	0.49000001	0.569999993	0.75	1	1.179999948	1.25	1.210000038	1.00999999	0.839999974	0.670000017	0.560000002	11.02499962	11.80000019	34.6041069	836.0717163	29.60000038	-4.5	34.09999847	10.30000019	20.76666641	21.21666718	0.666666687	386	51	10	39.91331482	131	38	57	121	198	1305	7.40000011	18.63999958	2.399999946	0.219999995	0.87999998	0	80	81	14	27	-0.5944698	3.078245715	3.596749569	0.321081595	1.347991089	0.500047159	1.092750619	0.762231624	1.270225637	1.004222219
ABD_0007	19.33	47.42	2	EU	3.332999945	1.675999999	3.529000044	3701	6608	10567	15433	19606	21391	21294	18083	13427	8631	4154	2870	-0.899999976	1.100000024	5.800000191	10.89999962	16	19	20.79999924	20.60000038	16.20000076	10.69999981	4.400000095	0.5	33	27	29	42	60	60	49	49	42	37	50	41	0.479999989	0.50999999	0.629999995	0.800000012	1.159999967	1.450000048	1.570000052	1.559999943	1.279999971	0.959999979	0.699999988	0.540000021	10.42083359	9.108332634	30.26024246	810.7220459	26.5	-3.599999905	30.10000038	18.58333397	1.98333323	20.14999962	0.216666654	519	60	27	24.49422264	169	89	158	101	226	0	5.300000079	7.259999838	2.029999955	0.099999998	0.319999993	0.079999998	73	68	9	25	0.476447629	-2.872734377	4.094135133	1.70682018	3.621585357	1.684264509	-0.392077034	0.16258796	0.115052823	0.719091963
ABD_0025	80	28	3	SA	3.45600009	2.503000021	4.855999947	13709	16927	20614	24596	26133	22206	19015	17946	18371	17965	15766	13316	14.80000019	17.5	23	29.10000038	32.5	32.29999924	29.60000038	28.89999962	28.29999924	25.60000038	20.5	16.10000038	28	13	17	2	14	106	307	368	194	94	3	7	1.100000024	1.169999957	1.320000052	1.409999967	1.809999943	2.630000114	3.25	3.269999981	3.019999981	2.099999905	1.429999948	1.129999995	24.84583282	12.60833359	39.64884949	630.6686401	40.09999847	8.300000191	31.79999924	28.93333435	23.23333359	31.41666603	16.11666679	1153	368	2	131.0651398	869	32	427	48	228	300	7.000000104	17.6999996	2.029999955	0.109999998	0.689999985	0	28	92	6	35	-12.37882316	-3.172039159	-8.178959246	0.526374498	-3.637631438	2.204582277	1.802376288	-1.751143307	2.268065649	0.042352705
ABD_0026	70.5	29.83333333	3	SA	4.027999878	2.513000011	5.208000183	13030	15948	19228	22378	24807	24996	22820	22732	22000	18808	15248	13041	13.10000038	15.80000019	21.20000076	27.89999962	33.20000076	35.59999847	34.20000076	32.90000153	30.89999962	26.39999962	20.10000038	14.69999981	11	11	11	9	7	18	63	60	21	3	1	6	0.899999976	1	1.330000043	1.539999962	1.789999962	2.450000048	3.220000029	3.24000001	2.779999971	1.879999995	1.309999943	1.00999999	25.50833321	14.55000019	39.21833038	822.526123	42.59999847	5.5	37.09999847	32.70000076	20.38333321	34.3666687	14.51666641	221	63	1	107.617157	144	10	88	28	125	150	5.900000088	12.42999972	2.509999944	0.409999991	0.559999987	0	26	80	7	25	-11.52830737	3.177019705	-5.597798272	2.090680145	0.872195111	1.84193965	-2.89504208	0.652919141	-0.786243005	0.166367423
ABD_0027	72	31	3	SA	3.743999958	2.517999887	5.017000198	11763	14892	18794	22149	24054	23989	22442	22646	21472	17743	14186	12036	12.10000038	14.80000019	19.79999924	26.39999962	32	34.90000153	33.20000076	32.09999847	30.20000076	25.60000038	19.20000076	13.69999981	8	11	12	10	7	17	54	47	20	3	2	6	0.910000026	1.019999981	1.320000052	1.529999971	1.659999967	2.25	3.019999981	3.079999924	2.599999905	1.850000024	1.269999981	1.00999999	24.50416756	14.57499981	38.86666489	828.4636841	41.90000153	4.400000095	37.5	31.88333321	19.48333359	33.43333435	13.5	197	54	2	96.49468994	121	11	118	25	0	225	6.7000001	19.13999957	4.059999909	0.329999993	0.929999979	0	93	78	11	25	-10.74536441	3.498153658	-4.981105376	1.99862056	1.10275283	2.373004454	-1.24610038	1.259073658	-1.229542098	0.775264823
ABD_0028	77.25	28.75	3	SA	3.22300005	2.555000067	4.734000206	13064	16505	20288	24035	25475	23371	18540	17494	19235	18397	15182	12563	14.10000038	16.89999962	22.29999924	28.5	32.79999924	33.59999847	30.89999962	29.79999924	29.20000076	25.79999924	20.10000038	15.5	22	13	15	6	9	38	215	249	122	33	5	6	1.019999981	1.090000033	1.24000001	1.299999952	1.580000043	2.319999933	3.069999933	3.099999905	2.700000048	1.840000033	1.289999962	1.059999943	24.96249962	13.1916666	39.8539772	693.3158569	40.29999924	7.199999809	33.09999847	29.96666718	27.88333321	32.41666794	15.5	733	249	5	139.0069885	586	30	262	41	151	300	7.000000104	17.6999996	2.029999955	0.109999998	0.689999985	0	28	92	6	35	-11.32136485	-0.301791379	-7.263615101	1.007101078	-1.900384892	2.086647571	0.667604978	-1.220263929	0.95916987	0.423080278
ABD_0029	69	25.5	3	SA	4.522999763	2.578000069	5.638000011	15561	18161	21270	23459	25476	23844	21413	20420	21597	20390	17257	15352	17.10000038	20	25.29999924	30.29999924	33.40000153	33.79999924	32.09999847	30.79999924	30.5	28.70000076	23.5	18.60000038	2	4	3	3	4	10	91	58	16	2	2	2	0.920000017	1.059999943	1.340000033	1.690000057	2.329999924	2.890000105	3.079999924	2.99000001	2.720000029	1.929999948	1.320000052	1.039999962	26.99166679	15.11666679	45.9473114	593.4445801	41.40000153	8.5	32.90000153	31.13333321	23.56666756	33.08333206	18.53333282	197	91	2	162.7011719	165	6	105	8	136	490	6.400000095	10.64999976	2.549999943	0.619999986	0.609999986	0	34	79	8	26	-12.6550949	3.443933066	-8.063484044	0.506791523	0.834316324	1.376170537	-2.558293217	0.848008809	-0.388538463	-0.131846712
ABD_0050	17.94	43.07	2	EU	4.446000099	1.641000032	4.181000233	5640	8302	12059	16275	19914	22937	24503	22088	16472	10780	6187	4781	6	7.300000191	10.60000038	14	19	22.89999962	26	25.60000038	20.89999962	16.20000076	11	7.300000191	108	99	93	98	76	63	47	57	88	122	145	130	0.600000024	0.600000024	0.74000001	0.980000019	1.299999952	1.539999962	1.710000038	1.679999948	1.460000038	1.24000001	0.959999979	0.649999976	15.57083321	9.49166584	32.39476776	726.5843506	31.79999924	2.5	29.29999924	11.5	24.81666565	24.81666565	6.850000381	1126	145	47	31.50262833	397	167	167	337	230	306	4.800000072	7.669999829	1.619999964	0.199999996	0.269999994	0.099999998	138	57	11	38	-4.559992608	-4.516522793	6.699868855	-3.113885384	-0.002125912	1.204553254	-0.818743172	-0.694564761	0.399807773	-0.760929835
ABD_0053	67.11	36.71	6	WA	4.468999863	2.105000019	4.953999996	7504	10188	13073	17310	23461	24757	26579	24635	20340	14370	9971	7777	3.299999952	5.199999809	10.69999981	18.20000076	24.5	30.39999962	32.59999847	30.39999962	24.60000038	17	10.39999962	5.699999809	30	30	46	28	11	0	0	0	0	4	11	21	0.589999974	0.639999986	0.850000024	1.179999948	1.220000029	1.190000057	1.25999999	1.149999976	0.920000017	0.810000002	0.709999979	0.680000007	17.74583244	13.04166603	31.5016098	1066.705811	39.79999924	-1.600000024	41.39999771	6.383333206	31.14999962	31.14999962	4.733333111	181	46	0	96.84899139	106	0	0	81	155	2000	7.800000116	18.79999958	2.479999945	0.179999996	1.31999997	0	65	84	9	23	-4.656309502	5.783575445	2.073139499	2.45666872	1.49489956	-1.473976105	1.805396308	0.962619695	-0.007474373	1.544969547
