ID	lon	lat	solar1	solar2	solar3	srad01	srad02	srad03	srad04	srad05	srad06	srad07	srad08	srad09	srad10	srad11	srad12	temp01	temp02	temp03	temp04	temp05	temp06	temp07	temp08	temp09	temp10	temp11	temp12	prec01	prec02	prec03	prec04	prec05	prec06	prec07	prec08	prec09	prec10	prec11	prec12	vapr01	vapr02	vapr03	vapr04	vapr05	vapr06	vapr07	vapr08	vapr09	vapr10	vapr11	vapr12	bio01	bio02	bio03	bio04	bio05	bio06	bio07	bio08	bio09	bio10	bio11	bio12	bio13	bio14	bio15	bio16	bio17	bio18	bio19	soil01	soil02	soil03	soil04	soil05	soil06	soil07	soil08	soil09	soil10	soil11	soil12	region
ABD_0280	-73.52	-42.47	3.229000092	1.68599999	3.54399991	20166	18521	13107	8703	5253	4143	4591	7338	10446	15064	17633	21358	13.89999962	13.80000019	12.5	11	9.100000381	7.900000095	7.300000191	7.5	8.199999809	9.800000191	11.10000038	12.60000038	109	105	135	194	287	288	294	256	173	125	131	135	1.289999962	1.25999999	1.220000029	1.090000033	1.019999981	0.920000017	0.879999995	0.870000005	0.910000026	0.99000001	1.080000043	1.169999957	10.39166641	6.383333206	48.35858917	244.1761017	17.79999924	4.599999905	13.19999886	8.100000381	13.41666698	13.4333334	7.550000191	2232	294	105	40.09560776	869	349	349	838	0	0	4.500000067	1.759999961	0.529999988	0.139999997	0.219999995	1.32999997	1289	49	55	55	Sth_AM
ABD_0279	-73.77	-42.43	3.144000053	1.735000014	3.532000065	19999	18016	12853	9514	5447	4187	4628	6901	10789	15351	17667	20466	14.39999962	14.19999981	12.89999962	11.5	9.399999619	8.100000381	7.599999905	7.800000191	8.600000381	10.19999981	11.5	13	113	98	111	175	284	278	294	260	178	134	115	121	1.350000024	1.320000052	1.279999971	1.149999976	1.080000043	0.970000029	0.939999998	0.920000017	0.959999979	1.039999962	1.129999995	1.230000019	10.7541666	6.625	48.71323776	247.7760773	18.39999962	4.800000191	13.59999943	8.366666794	13.80000019	13.84999943	7.850000381	2161	294	98	42.65917969	856	322	332	832	1639	0	4.500000067	1.759999961	0.529999988	0.139999997	0.219999995	1.32999997	1289	49	55	55	Sth_AM
ABD_0278	-73.47	-41.37	3.387000084	1.754999995	3.700999975	19942	18488	12735	8599	5644	4049	4550	7382	10023	13824	17278	19068	14	13.60000038	12.30000019	10.60000038	8.800000191	7.199999809	6.800000191	7	7.900000095	9.5	11	12.80000019	73	80	118	163	204	270	217	194	142	107	100	108	1.299999952	1.289999962	1.230000019	1.110000014	1.029999971	0.930000007	0.899999976	0.899999976	0.920000017	1.00999999	1.100000024	1.200000048	10.14583302	8.291666985	53.49462128	263.7703857	19	3.5	15.5	7.616666794	13.48333359	13.48333359	7.016666412	1776	270	73	41.4174118	691	261	261	681	1639	0	4.500000067	1.759999961	0.529999988	0.139999997	0.219999995	1.32999997	1289	49	55	55	Sth_AM
ABD_0273	-72.73	-39.98	3.509000063	1.718000054	3.84800005	21417	18779	13106	9302	5751	4062	4763	7705	11501	15409	19562	21525	15.89999962	15.5	13.60000038	11	8.800000191	7	6.5	6.900000095	8.399999619	10.60000038	12.60000038	14.60000038	50	62	73	132	332	338	391	276	175	124	106	87	1.24000001	1.24000001	1.179999948	1.059999943	0.99000001	0.889999986	0.850000024	0.860000014	0.879999995	0.959999979	1.070000052	1.169999957	10.9375	10.375	52.13568115	346.594635	22.39999962	2.5	19.89999962	7.400000095	14.98333359	15.35000038	6.783333302	2146	391	50	67.8256073	1061	185	199	1005	1639	0	4.500000067	1.759999961	0.529999988	0.139999997	0.219999995	1.32999997	1289	49	55	55	Sth_AM
ABD_0277	-72.47	-39.08	4.427000046	1.611999989	4.243000031	23120	20120	15229	9857	5960	4747	5000	7790	11594	16135	21070	22482	16.70000076	16.39999962	14.39999962	11.60000038	9.300000191	7.599999905	7.199999809	7.800000191	9.199999809	11.10000038	13.10000038	15.19999981	61	53	83	150	308	324	309	263	170	118	103	84	1.279999971	1.279999971	1.210000038	1.090000033	1.019999981	0.920000017	0.870000005	0.879999995	0.920000017	1	1.100000024	1.210000038	11.64999962	12.05000019	56.30841064	346.0688477	24.5	3.099999905	21.39999962	8.066666603	15.8166666	16.08333397	7.549999714	2026	324	53	61.20192719	941	197	198	896	1639	0	4.500000067	1.759999961	0.529999988	0.139999997	0.219999995	1.32999997	1289	49	55	55	Sth_AM
ABD_0274	-73.13	-38.98	4.327000141	1.63499999	4.260000229	22872	19939	15227	10414	6029	4936	5534	8287	11643	16112	20957	22530	16.79999924	16.5	14.69999981	12.30000019	10.30000019	8.800000191	8.300000191	8.699999809	10	11.80000019	13.5	15.30000019	44	35	62	109	201	226	213	193	113	76	64	56	1.340000033	1.340000033	1.269999981	1.149999976	1.080000043	0.970000029	0.920000017	0.930000007	0.970000029	1.059999943	1.159999967	1.269999981	12.2458334	10.42500019	54.86842346	308.9973145	23.39999962	4.400000095	19	9.133333206	16.21666718	16.21666718	8.616666794	1392	226	35	61.67967224	640	135	135	632	0	0	5.200000077	9.249999793	1.999999955	0.199999996	0.369999992	0	91	69	9	28	Sth_AM
ABD_0272	-72.83	-38.77	4.446000099	1.652999997	4.311999798	23203	20224	15415	10519	5865	4798	5084	7860	11710	16265	21048	22503	17.29999924	16.89999962	15	12.30000019	10.10000038	8.5	8	8.5	9.899999619	11.80000019	13.69999981	15.80000019	32	29	44	84	169	190	177	138	91	69	55	48	1.340000033	1.340000033	1.269999981	1.149999976	1.080000043	0.970000029	0.920000017	0.930000007	0.970000029	1.059999943	1.159999967	1.269999981	12.3166666	11.63333321	55.92948914	337.7151184	24.79999924	4	20.79999924	8.883333206	16.41666603	16.66666603	8.350000381	1126	190	29	62.46952057	536	105	109	505	1639	0	4.500000067	1.759999961	0.529999988	0.139999997	0.219999995	1.32999997	1289	49	55	55	Sth_AM
ABD_0281	-72.67	-38.77	4.427999973	1.644999981	4.296999931	23241	20023	15247	9975	5862	4859	5087	8291	11707	16274	21065	22495	17	16.60000038	14.69999981	12	9.800000191	8.100000381	7.599999905	8.199999809	9.600000381	11.5	13.39999962	15.60000038	35	34	49	92	186	204	184	139	101	77	61	52	1.320000052	1.320000052	1.25	1.120000005	1.049999952	0.949999988	0.899999976	0.910000026	0.949999988	1.039999962	1.129999995	1.25	12	11.94999981	56.36792374	342.5041504	24.70000076	3.5	21.20000076	8.5	16.11666679	16.41666794	7.949999809	1214	204	34	60.74946594	574	118	121	527	1639	0	4.500000067	1.759999961	0.529999988	0.139999997	0.219999995	1.32999997	1289	49	55	55	Sth_AM
ABD_0271	-72.45	-38.53	4.589000225	1.616000056	4.368999958	24507	20013	15327	10005	5753	4648	5205	7819	11888	16288	21122	22787	16.89999962	16.39999962	14.30000019	11.5	9	7.300000191	6.900000095	7.400000095	8.899999619	10.89999962	13	15.30000019	36	38	42	85	219	251	218	169	120	88	69	59	1.269999981	1.25999999	1.190000057	1.059999943	1	0.899999976	0.860000014	0.860000014	0.910000026	0.99000001	1.090000033	1.200000048	11.48333359	12.3166666	55.73152542	365.9690247	24.89999962	2.799999952	22.10000038	7.699999809	15.89999962	16.20000076	7.183333397	1394	251	36	66.72170258	688	116	133	638	174	0	4.500000067	6.879999846	1.309999971	0.189999996	0.389999991	0.049999999	302	53	27	33	Sth_AM
ABD_0276	-72	-38.15	5.354000092	1.475000024	4.649000168	25564	22914	17511	11668	6972	5175	6107	8835	13375	17775	21955	24539	15.80000019	15.10000038	12.80000019	9.899999619	7	5.099999905	4.800000191	5.300000191	7.099999905	9.5	11.80000019	14.19999981	42	53	72	123	364	381	369	270	174	116	108	75	1.110000014	1.090000033	1.00999999	0.889999986	0.829999983	0.75	0.709999979	0.720000029	0.75999999	0.839999974	0.939999998	1.039999962	9.875	12.61666679	54.38218307	402.8393555	23.89999962	0.699999988	23.19999886	5.650000095	14.5666666	15.04999924	5.083333015	2147	381	42	72.75745392	1114	167	170	1020	1639	0	4.500000067	1.999999955	0.839999981	0.199999996	0.379999992	0.099999998	1083	48	57	55	Sth_AM
