rownames(data2)	lon	lat	PC1	PC2	PC3	PC4	PC5	PC6	cluster	type(manual)
ABD_0228	-9.4	38.83	-6.456754884	-0.879094751	3.378638335	-4.778313936	2.457602566	-0.923881406	2	2
ABD_0176	-9	53.33	-1.272653131	-9.229198112	4.505441623	-3.968515462	5.02528562	0.662276264	2	2
ABD_0359	-8.22	39.4	-5.912097258	0.11606466	4.183094762	-4.131869279	1.506377207	-0.285427441	2	2
ABD_0391	-8.22	39.4	-5.912097258	0.11606466	4.183094762	-4.131869279	1.506377207	-0.285427441	2	2
ABD_0226	-7.88	38.17	-5.914199183	1.743255931	3.160127649	-3.395045433	1.896006176	-0.555439433	2	2
ABD_0062	-4.72	41.07	-1.11339103	1.03252736	2.953902139	-1.225461301	3.257113959	-0.477515178	2	2
ABD_0389	-3.75	40.46	-2.692017306	1.512852102	3.117319812	-0.875470618	2.926716798	-0.177120365	2	2
ABD_0222	-3.25	37.25	-2.111872228	2.592251799	3.204061837	-2.218120982	0.960780628	-0.680196037	2	2
ABD_0065	-0.19	52.41	0.367936946	-5.976888284	3.129192915	-1.148301508	6.584748192	1.213256316	2	2
ABD_0387	1.52	42.51	0.952090832	-4.219917058	3.989545727	-3.513638242	0.989616921	-1.95062336	2	2
ABD_0388	1.52	42.51	0.952090832	-4.219917058	3.989545727	-3.513638242	0.989616921	-1.95062336	2	2
ABD_0088	5.83	52	-0.044560015	-7.538998425	4.327730745	-1.777564438	4.708161877	0.563519889	2	2
ABD_0253	7.24	46.16	1.476563218	-5.427218833	4.509214895	-2.634932487	1.584654284	-1.104287943	2	2
ABD_0254	7.97	46.35	3.988344595	-5.719870785	3.906881455	-3.232267401	1.621989755	-1.361070569	2	2
ABD_0059	9.12	46.78	0.809624081	-9.517150899	3.776142497	-3.131668027	-0.367283841	-0.978915658	2	2
ABD_0081	9.17	45.17	-2.325490103	-4.299829171	3.828975488	0.3185562	2.335297502	-1.40564136	2	2
ABD_0061	10.69	48.99	1.320779529	-6.092678893	3.336168965	-0.152049279	3.713888205	0.036569363	2	2
ABD_0249	10.73	47.15	2.993950392	-6.208506742	2.196180029	-1.421048661	1.892367938	0.257871012	2	2
ABD_0252	12.05	47.43	2.790494518	-8.234295434	2.76491693	-1.948022732	0.853435139	0.329709164	2	2
ABD_0250	12.22	47.43	1.62229739	-8.134641399	3.018696885	-1.348404223	0.828345741	0.08896633	2	2
ABD_0056	12.22	47.65	0.309118276	-8.822990945	3.584423836	-1.346633759	0.650597848	-0.30019029	2	2
ABD_0248	12.45	47	3.206383422	-6.410659559	2.006294397	-0.74791061	1.553081293	0.348208084	2	2
ABD_0251	12.5	46.92	3.721902665	-6.762419548	2.036183031	-0.901821012	1.405237391	0.426619307	2	2
ABD_0390	12.57	41.87	-5.421078753	-2.034981384	4.107627244	-2.027026919	1.880545971	-0.577021377	2	2
ABD_0096	13.25	59.75	4.405795901	-6.909222915	4.306819188	1.138862833	3.828392973	0.867760433	2	2
ABD_0082	14.25	37.75	-2.480099087	0.083812387	3.471674761	-2.71851828	1.507667114	-0.429209703	2	2
ABD_0358	14.55	47.52	3.733131101	-9.616546076	3.408254272	-2.68585536	0.311857369	-0.131386401	2	2
ABD_0369	14.55	47.52	3.733131101	-9.616546076	3.408254272	-2.68585536	0.311857369	-0.131386401	2	2
ABD_0379	14.55	47.52	3.733131101	-9.616546076	3.408254272	-2.68585536	0.311857369	-0.131386401	2	2
ABD_0068	15.61	44.04	-3.307636222	-3.553086538	4.691623976	-1.589280618	1.98504083	-0.66776439	2	2
ABD_0218	17.53	43.2	-4.989092848	-3.693476998	5.576419017	-1.887048892	1.101018388	-0.532924246	2	2
ABD_0263	17.72	44.81	-0.91119021	-4.869815067	3.776010821	-0.20713002	2.044850719	-1.305814395	2	2
ABD_0050	17.94	43.07	-4.885412081	-4.422029783	6.049152573	-2.632474185	0.348194836	-0.474185763	2	2
ABD_0057	18.2	44.17	1.810950278	-6.209832709	4.493862332	-2.490822023	1.387658711	-1.303981722	2	2
ABD_0245	18.34	42.71	-4.79407724	-5.142616079	6.581904813	-3.914875012	-0.467473989	-0.231496907	2	2
ABD_0247	19.05	44.35	-0.42194686	-5.352851489	3.492737074	-0.696214737	1.783699282	-1.102107463	2	2
ABD_0007	19.33	47.42	0.228270103	-3.378493421	2.971602822	1.637497245	3.66731057	-0.087282632	2	2
ABD_0069	19.33	47.42	0.228270103	-3.378493421	2.971602822	1.637497245	3.66731057	-0.087282632	2	2
ABD_0246	20.59	44.55	-0.691989104	-3.742995941	2.745772909	0.558395752	2.442850812	-0.787860283	2	2
ABD_0095	20.9	42.63	-0.206393866	-3.125732624	4.033017146	-0.649565396	1.808451601	-1.429167613	2	2
ABD_0262	21.03	42.24	0.863622721	-3.429466767	4.133792986	-1.489689053	1.766612149	-1.233392213	2	2
ABD_0086	21.72	41.97	-1.103852196	-1.062564183	2.980783974	1.242229661	2.733826431	-1.101235162	2	2
ABD_0067	22	39.5	-4.547859776	-0.181584571	4.112420227	-0.712689065	1.898418553	-0.091885929	2	2
ABD_0293	22.77	48.1	0.215650808	-4.804195457	3.458638426	0.889389285	2.586572842	-0.46111277	2	2
ABD_0234	23	40.67	-2.126715217	-0.58220939	3.363448998	0.101915038	3.08071067	-0.621947107	2	2
ABD_0235	24.75	35.25	-0.542613115	-1.206588722	6.750539433	-6.551631805	-2.820454348	1.142781374	5	0
ABD_0386	25.49	42.73	2.32457314	-4.011231212	3.047548858	-0.811046256	2.017999017	-0.562956731	2	2
ABD_0093	26.73	47.68	0.985047295	-3.262076377	2.22311575	2.151788459	2.466141646	0.125079476	2	2
ABD_0175	27.57	53.9	3.359021013	-6.120938909	3.658908853	2.075815841	3.463541684	0.857634801	2	2
ABD_0003	32.83	39.92	-0.122692884	1.862849238	3.468520321	-0.01086761	1.332312027	-0.43232018	2	2
ABD_0105	34	45	-0.533443043	-2.680218216	3.485742406	0.874217408	3.690679227	-0.224086437	2	2
ABD_0104	35	48.5	1.444003857	-3.830252281	3.959079417	2.6861874	3.233141225	0.196018215	2	2
ABD_0866	35.23	31.95	-4.422178831	3.980892016	3.044773074	-4.360080392	-0.977139566	0.012233896	5	5
ABD_0857	35.24	38.96	0.983324406	2.580993537	3.409176243	-0.535387037	0.683427217	-0.515358947	5	5
ABD_0865	35.24	38.96	0.983324406	2.580993537	3.409176243	-0.535387037	0.683427217	-0.515358947	5	5
ABD_0921	35.24	38.96	0.983324406	2.580993537	3.409176243	-0.535387037	0.683427217	-0.515358947	5	5
ABD_0601	35.3	37	-7.914091114	1.141677481	3.6814995	-2.198935136	-0.259076088	-1.065295915	5	5
ABD_0345	35.42	29.72	-3.800589268	7.709774206	0.202320721	-1.122622064	1.904912175	-0.107535727	5	5
ABD_0633	35.6	37.3	-7.521708508	0.920028632	4.031468132	-2.136659319	-0.706311453	-0.835163493	5	5
ABD_0679	35.6	37.3	-7.521708508	0.920028632	4.031468132	-2.136659319	-0.706311453	-0.835163493	5	5
ABD_0346	35.8	31.72	-4.520715642	5.488171605	2.008373524	-3.025326908	0.254446958	0.080971648	5	5
ABD_0325	35.85	33.82	-5.117610523	2.738379766	5.700410717	-4.655992485	-2.764431048	1.325757306	5	5
ABD_0324	35.92	33.72	-4.657678316	3.545502134	4.709474746	-4.003608788	-1.824962348	1.082312991	5	5
ABD_0738	36.1	36.2	-8.392236795	-0.079158952	5.974962336	-3.999635267	-2.218772895	-0.565317932	5	5
ABD_0380	36.24	30.59	-3.398168069	7.398208686	0.702948489	-1.40690872	1.476838262	-0.043968551	5	5
